CustomerID,ActualLabel,ActualLabel_Text,PredictedProbability,PredictedLabel,PredictedLabel_Text,ChurnRisk,OrderValue,NumItems,NumUniqueProducts,BasketRepeatScore,BestProductRepeatScore,Month,MonthName,DaysFromStart,DayOfWeek,IsWeekend,IsBusinessHours,Country,CountryRepeatRate,MonthRepeatRate,AvgItemPrice,OrderValuePercentile,NumItemsPercentile,TimePeriod,ProductQuality,RiskCategory,OrderValueCategory,PredictionCorrect,PredictionType
12380,1,Repeat Buyer,0.87712514,1,Repeat Buyer,0.122874856,607.55,36,36,0.7201,0.8846,6,June,188,3,0,1,Belgium,0.75,0.6405,2.62,84.44,79.92,Jun-Jul,High,Low Risk,Large ($400-$800),True,Correct
12381,1,Repeat Buyer,0.7700568,1,Repeat Buyer,0.22994322,1268.74,62,62,0.6545,0.9444,8,August,254,6,0,1,Norway,0.6,0.5444,3.96,96.38,93.18,Aug-Sep,Medium,Low Risk,Very Large (>$800),True,Correct
12383,1,Repeat Buyer,0.70048255,1,Repeat Buyer,0.29951745,600.72,37,37,0.7008,0.7895,12,December,21,4,0,1,Belgium,0.75,0.8369,1.33,84.21,80.61,Dec-Jan,High,Medium Risk,Large ($400-$800),True,Correct
12384,1,Repeat Buyer,0.40618685,0,One-time Buyer,0.5938132,292.69,14,14,0.6436,0.8,8,August,252,4,0,1,Switzerland,0.75,0.5444,7.8,47.94,38.53,Aug-Sep,Medium,High Risk,Medium ($200-$400),False,False Negative
12386,1,Repeat Buyer,0.8033088,1,Repeat Buyer,0.19669122,258.9,8,8,0.7058,0.7978,12,December,7,4,0,1,Australia,0.8889,0.8369,2.73,43.12,20.38,Dec-Jan,High,Low Risk,Medium ($200-$400),True,Correct
12388,1,Repeat Buyer,0.93915504,1,Repeat Buyer,0.060844958,431.3,19,19,0.7498,0.9,1,January,47,2,0,1,Australia,0.8889,0.8153,2.74,73.46,53.01,Dec-Jan,High,Low Risk,Large ($400-$800),True,Correct
12390,0,One-time Buyer,0.47607905,0,One-time Buyer,0.52392095,549.84,32,32,0.6712,0.8098,9,September,294,4,0,1,Belgium,0.75,0.4749,4.0,81.85,76.55,Aug-Sep,Medium,High Risk,Large ($400-$800),True,Correct
12391,0,One-time Buyer,0.12149413,0,One-time Buyer,0.8785059,460.89,100,92,0.59,0.8372,11,November,352,6,0,1,Cyprus,0.5714,0.2601,2.46,76.0,98.48,Aug-Sep,Low,Very High Risk,Large ($400-$800),True,Correct
12393,1,Repeat Buyer,0.91530854,1,Repeat Buyer,0.084691465,462.5,19,19,0.7534,0.8519,1,January,41,3,0,1,Australia,0.8889,0.8153,2.18,76.23,53.01,Dec-Jan,Very High,Low Risk,Large ($400-$800),True,Correct
12394,1,Repeat Buyer,0.56578034,1,Repeat Buyer,0.43421966,381.08,21,21,0.6859,0.8098,5,May,156,6,0,1,Belgium,0.75,0.6937,3.02,67.44,58.45,Apr-May,High,Medium Risk,Medium ($200-$400),True,Correct
12395,1,Repeat Buyer,0.93393385,1,Repeat Buyer,0.066066146,346.1,12,12,0.7466,0.8205,12,December,2,6,0,1,Belgium,0.75,0.8369,3.12,62.19,32.9,Dec-Jan,High,Low Risk,Medium ($200-$400),True,Correct
12397,1,Repeat Buyer,0.4215869,0,One-time Buyer,0.5784131,1214.81,70,70,0.6763,0.8045,7,July,238,4,0,1,Belgium,0.75,0.6011,3.54,96.03,95.27,Jun-Jul,Medium,High Risk,Very Large (>$800),False,False Negative
12398,0,One-time Buyer,0.43042254,0,One-time Buyer,0.56957746,1635.66,85,85,0.6442,0.8696,10,October,328,3,0,1,Switzerland,0.75,0.3464,1.99,97.74,97.28,Aug-Sep,Medium,High Risk,Very Large (>$800),True,Correct
12399,1,Repeat Buyer,0.7080458,1,Repeat Buyer,0.29195422,288.05,20,20,0.7276,0.792,3,March,112,4,0,1,Belgium,0.75,0.7212,1.65,47.18,55.8,Feb-Mar,High,Medium Risk,Medium ($200-$400),True,Correct
12401,0,One-time Buyer,0.44617212,0,One-time Buyer,0.5538279,84.3,5,5,0.7147,0.7947,2,February,70,4,0,1,Belgium,0.75,0.7711,9.68,5.46,11.04,Feb-Mar,High,High Risk,Small (<$200),True,Correct
12402,0,One-time Buyer,0.5642255,1,Repeat Buyer,0.4357745,225.6,11,11,0.7483,0.8182,1,January,50,5,0,1,Belgium,0.75,0.8153,3.29,37.38,29.49,Dec-Jan,High,Medium Risk,Medium ($200-$400),False,False Positive
12403,0,One-time Buyer,0.2583454,0,One-time Buyer,0.74165463,427.7,5,5,0.7226,0.8,10,October,324,6,0,1,Denmark,0.75,0.3464,7.08,72.98,11.04,Aug-Sep,High,High Risk,Large ($400-$800),True,Correct
12405,0,One-time Buyer,0.44993424,0,One-time Buyer,0.55006576,1710.39,54,54,0.6803,0.8571,7,July,225,5,0,0,Finland,0.5833,0.6011,3.54,98.13,90.5,Jun-Jul,High,High Risk,Very Large (>$800),True,Correct
12406,1,Repeat Buyer,0.951965,1,Repeat Buyer,0.048035026,1621.25,49,48,0.7323,0.9667,6,June,190,5,0,1,Denmark,0.75,0.6405,3.04,97.67,88.08,Jun-Jul,High,Low Risk,Very Large (>$800),True,Correct
12407,1,Repeat Buyer,0.60884696,1,Repeat Buyer,0.39115304,226.3,15,15,0.7152,0.8,3,March,109,1,1,1,Belgium,0.75,0.7212,2.38,37.61,41.73,Feb-Mar,High,Medium Risk,Medium ($200-$400),True,Correct
12408,1,Repeat Buyer,0.88175446,1,Repeat Buyer,0.11824554,762.89,32,32,0.7289,0.8846,3,March,113,5,0,1,Belgium,0.75,0.7212,3.33,89.49,76.55,Feb-Mar,High,Low Risk,Large ($400-$800),True,Correct
12409,1,Repeat Buyer,0.5559027,1,Repeat Buyer,0.44409728,6207.08,64,64,0.6775,0.8261,6,June,191,6,0,1,Switzerland,0.75,0.6405,3.71,99.82,93.71,Jun-Jul,Medium,Medium Risk,Very Large (>$800),True,Correct
12410,1,Repeat Buyer,0.97955716,1,Repeat Buyer,0.020442843,625.33,22,22,0.7532,1.0,2,February,65,6,0,1,Switzerland,0.75,0.7711,5.94,85.29,60.69,Feb-Mar,Very High,Low Risk,Large ($400-$800),True,Correct
12412,1,Repeat Buyer,0.51449,1,Repeat Buyer,0.48551,514.5,28,28,0.6663,0.8098,6,June,204,5,0,1,Denmark,0.75,0.6405,2.49,79.92,70.39,Jun-Jul,Medium,Medium Risk,Large ($400-$800),True,Correct
12413,1,Repeat Buyer,0.72686416,1,Repeat Buyer,0.27313584,479.25,24,24,0.717,0.7952,1,January,36,5,0,1,France,0.6782,0.8153,5.13,77.33,64.63,Dec-Jan,High,Medium Risk,Large ($400-$800),True,Correct
12414,1,Repeat Buyer,0.27270034,0,One-time Buyer,0.7272997,153.76,7,7,0.7094,0.7895,2,February,63,4,0,1,Austria,0.4444,0.7711,6.64,21.07,17.32,Feb-Mar,High,High Risk,Small (<$200),False,False Negative
12415,1,Repeat Buyer,0.89767724,1,Repeat Buyer,0.10232276,7011.38,46,46,0.7354,0.8916,1,January,36,5,0,1,Australia,0.8889,0.8153,1.87,99.86,86.81,Dec-Jan,High,Low Risk,Very Large (>$800),True,Correct
12417,1,Repeat Buyer,0.92680115,1,Repeat Buyer,0.073198855,291.34,11,11,0.7518,0.95,12,December,16,6,0,1,Belgium,0.75,0.8369,7.0,47.66,29.49,Dec-Jan,Very High,Low Risk,Medium ($200-$400),True,Correct
12418,0,One-time Buyer,0.31705776,0,One-time Buyer,0.6829423,668.58,34,34,0.67,0.7857,8,August,261,6,0,1,Switzerland,0.75,0.5444,3.56,86.79,78.3,Aug-Sep,Medium,High Risk,Large ($400-$800),True,Correct
12420,0,One-time Buyer,0.8234954,1,Repeat Buyer,0.17650461,600.39,29,29,0.6466,0.9375,10,October,310,6,0,0,Cyprus,0.5714,0.3464,4.71,84.18,71.94,Aug-Sep,Medium,Low Risk,Large ($400-$800),False,False Positive
12421,1,Repeat Buyer,0.8945907,1,Repeat Buyer,0.105409324,157.45,11,11,0.7607,0.9,1,January,54,2,0,1,Spain,0.6429,0.8153,4.16,22.32,29.49,Dec-Jan,Very High,Low Risk,Small (<$200),True,Correct
12422,1,Repeat Buyer,0.8710096,1,Repeat Buyer,0.12899041,238.5,13,13,0.7712,0.8846,1,January,49,4,0,1,Australia,0.8889,0.8153,2.82,39.68,35.79,Dec-Jan,Very High,Low Risk,Medium ($200-$400),True,Correct
12423,1,Repeat Buyer,0.95218986,1,Repeat Buyer,0.047810137,237.93,16,16,0.7348,0.9286,12,December,20,3,0,1,Belgium,0.75,0.8369,2.64,39.54,44.94,Dec-Jan,High,Low Risk,Medium ($200-$400),True,Correct
12424,0,One-time Buyer,0.26408935,0,One-time Buyer,0.73591065,1466.32,23,23,0.6092,0.7742,6,June,211,5,0,1,Australia,0.8889,0.6405,2.4,97.07,62.49,Jun-Jul,Medium,High Risk,Very Large (>$800),True,Correct
12425,0,One-time Buyer,0.20614132,0,One-time Buyer,0.79385865,777.2,36,36,0.6567,0.792,9,September,295,5,0,1,Portugal,0.6316,0.4749,2.56,90.04,79.92,Aug-Sep,Medium,Very High Risk,Large ($400-$800),True,Correct
12426,0,One-time Buyer,0.53740764,1,Repeat Buyer,0.46259236,582.73,30,30,0.6957,0.8098,5,May,179,1,1,1,Germany,0.7234,0.6937,3.94,83.31,73.92,Apr-May,High,Medium Risk,Large ($400-$800),False,False Positive
12427,1,Repeat Buyer,0.7448104,1,Repeat Buyer,0.2551896,303.5,10,10,0.7253,0.791,12,December,2,6,0,1,Germany,0.7234,0.8369,4.93,50.91,26.47,Dec-Jan,High,Medium Risk,Medium ($200-$400),True,Correct
12428,1,Repeat Buyer,0.96276546,1,Repeat Buyer,0.037234545,1943.4,95,95,0.7236,1.0,3,March,90,3,0,1,Finland,0.5833,0.7212,3.09,98.64,98.18,Feb-Mar,High,Low Risk,Very Large (>$800),True,Correct
12429,1,Repeat Buyer,0.9340989,1,Repeat Buyer,0.0659011,1281.5,20,20,0.7403,0.878,12,December,8,5,0,1,Denmark,0.75,0.8369,4.65,96.43,55.8,Dec-Jan,High,Low Risk,Very Large (>$800),True,Correct
12430,0,One-time Buyer,0.13083702,0,One-time Buyer,0.869163,256.4,11,11,0.5829,0.7622,10,October,330,5,0,1,Norway,0.6,0.3464,6.23,42.79,29.49,Aug-Sep,Low,Very High Risk,Medium ($200-$400),True,Correct
12431,1,Repeat Buyer,0.87630755,1,Repeat Buyer,0.12369245,358.25,14,14,0.7338,0.9286,12,December,0,4,0,1,Australia,0.8889,0.8369,5.28,64.38,38.53,Dec-Jan,High,Low Risk,Medium ($200-$400),True,Correct
12432,1,Repeat Buyer,0.7364963,1,Repeat Buyer,0.26350367,2862.06,62,62,0.6958,0.9,6,June,201,2,0,1,Norway,0.6,0.6405,5.17,99.35,93.18,Jun-Jul,High,Medium Risk,Very Large (>$800),True,Correct
12433,1,Repeat Buyer,0.9278687,1,Repeat Buyer,0.072131276,1919.14,73,73,0.726,0.9333,12,December,0,4,0,1,Norway,0.6,0.8369,1.41,98.59,95.67,Dec-Jan,High,Low Risk,Very Large (>$800),True,Correct
12434,1,Repeat Buyer,0.43167353,0,One-time Buyer,0.5683265,286.25,16,16,0.6978,0.84,3,March,113,5,0,1,Australia,0.8889,0.7212,5.36,46.92,44.94,Feb-Mar,High,High Risk,Medium ($200-$400),False,False Negative
12435,1,Repeat Buyer,0.64451426,1,Repeat Buyer,0.35548574,3978.99,19,19,0.7255,0.8451,3,March,106,5,0,0,Denmark,0.75,0.7212,6.43,99.65,53.01,Feb-Mar,High,Medium Risk,Very Large (>$800),True,Correct
12436,0,One-time Buyer,0.20483163,0,One-time Buyer,0.7951684,509.01,16,16,0.642,0.745,9,September,274,5,0,1,Norway,0.6,0.4749,5.27,79.55,44.94,Aug-Sep,Medium,Very High Risk,Large ($400-$800),True,Correct
12437,1,Repeat Buyer,0.5538437,1,Repeat Buyer,0.44615632,392.7,7,7,0.7024,0.7947,1,January,42,4,0,1,France,0.6782,0.8153,7.31,68.99,17.32,Dec-Jan,High,Medium Risk,Medium ($200-$400),True,Correct
12438,1,Repeat Buyer,0.67060626,1,Repeat Buyer,0.32939374,890.07,49,49,0.674,0.9091,7,July,233,6,0,1,Norway,0.6,0.6011,3.44,92.32,88.08,Jun-Jul,Medium,Medium Risk,Very Large (>$800),True,Correct
12441,0,One-time Buyer,0.4219563,0,One-time Buyer,0.5780437,173.55,11,11,0.6444,0.7436,12,December,7,4,0,1,France,0.6782,0.8369,3.7,26.38,29.49,Dec-Jan,Medium,High Risk,Small (<$200),True,Correct
12442,0,One-time Buyer,0.08151226,0,One-time Buyer,0.9184877,172.06,12,12,0.6545,0.7812,12,December,370,3,0,1,Spain,0.6429,0.8369,3.34,26.12,32.9,Aug-Sep,Medium,Very High Risk,Small (<$200),True,Correct
12444,1,Repeat Buyer,0.84351796,1,Repeat Buyer,0.15648204,1870.2,90,90,0.6949,0.9375,6,June,202,3,0,1,Norway,0.6,0.6405,5.26,98.55,97.86,Jun-Jul,High,Low Risk,Very Large (>$800),True,Correct
12445,0,One-time Buyer,0.04980732,0,One-time Buyer,0.9501927,133.4,4,4,0.4839,0.6752,11,November,351,5,0,0,Spain,0.6429,0.2601,7.99,16.42,8.81,Aug-Sep,Low,Very High Risk,Small (<$200),True,Correct
12446,0,One-time Buyer,0.13534059,0,One-time Buyer,0.8646594,1002.31,57,57,0.6306,0.8045,10,October,316,5,0,1,RSA,0.0,0.3464,4.35,93.98,91.72,Aug-Sep,Medium,Very High Risk,Very Large (>$800),True,Correct
12447,0,One-time Buyer,0.40823695,0,One-time Buyer,0.591763,476.49,26,26,0.6957,0.8205,4,April,130,1,1,1,Belgium,0.75,0.6667,3.57,77.13,67.6,Apr-May,High,High Risk,Large ($400-$800),True,Correct
12448,0,One-time Buyer,0.17018203,0,One-time Buyer,0.82981795,449.45,22,22,0.6475,0.7885,10,October,329,4,0,1,Spain,0.6429,0.3464,5.95,75.03,60.69,Aug-Sep,Medium,Very High Risk,Large ($400-$800),True,Correct
12449,1,Repeat Buyer,0.980294,1,Repeat Buyer,0.01970601,858.93,48,48,0.7217,1.0,6,June,186,1,1,1,Belgium,0.75,0.6405,3.35,91.81,87.66,Jun-Jul,High,Low Risk,Very Large (>$800),True,Correct
12450,1,Repeat Buyer,0.2372079,0,One-time Buyer,0.7627921,101.88,6,6,0.6088,0.7627,6,June,200,1,1,1,Spain,0.6429,0.6405,1.67,8.09,14.43,Jun-Jul,Medium,Very High Risk,Small (<$200),False,False Negative
12451,1,Repeat Buyer,0.9796007,1,Repeat Buyer,0.020399272,2919.51,101,101,0.744,1.0,1,January,49,4,0,1,Switzerland,0.75,0.8153,2.24,99.38,98.55,Dec-Jan,High,Low Risk,Very Large (>$800),True,Correct
12452,1,Repeat Buyer,0.18744063,0,One-time Buyer,0.81255937,350.57,21,21,0.6219,0.8182,11,November,357,4,0,0,Switzerland,0.75,0.2601,2.79,62.92,58.45,Aug-Sep,Medium,Very High Risk,Medium ($200-$400),False,False Negative
12453,0,One-time Buyer,0.33993155,0,One-time Buyer,0.66006845,707.09,43,43,0.6514,0.8571,7,July,239,5,0,1,Austria,0.4444,0.6011,2.39,87.89,85.15,Jun-Jul,Medium,High Risk,Large ($400-$800),True,Correct
12454,0,One-time Buyer,0.17046466,0,One-time Buyer,0.82953537,3528.34,15,15,0.5865,0.8065,10,October,317,6,0,1,Spain,0.6429,0.3464,7.28,99.52,41.73,Aug-Sep,Low,Very High Risk,Very Large (>$800),True,Correct
12455,1,Repeat Buyer,0.84184647,1,Repeat Buyer,0.15815353,1683.9,41,41,0.7212,0.9286,2,February,77,4,0,1,Cyprus,0.5714,0.7711,2.28,97.95,83.68,Feb-Mar,High,Low Risk,Very Large (>$800),True,Correct
12456,1,Repeat Buyer,0.98217314,1,Repeat Buyer,0.017826855,940.17,41,41,0.7375,1.0,3,March,119,4,0,1,Switzerland,0.75,0.7212,4.18,93.15,83.68,Feb-Mar,High,Low Risk,Very Large (>$800),True,Correct
12457,1,Repeat Buyer,0.8859606,1,Repeat Buyer,0.11403942,669.25,22,22,0.7127,0.9487,4,April,134,5,0,0,Switzerland,0.75,0.6667,6.2,86.81,60.69,Apr-May,High,Low Risk,Large ($400-$800),True,Correct
12458,1,Repeat Buyer,0.9367217,1,Repeat Buyer,0.06327832,441.92,19,19,0.7391,0.9474,2,February,89,2,0,1,Switzerland,0.75,0.7711,3.89,74.43,53.01,Feb-Mar,High,Low Risk,Large ($400-$800),True,Correct
12461,1,Repeat Buyer,0.7854827,1,Repeat Buyer,0.2145173,626.88,34,34,0.6922,0.9048,7,July,219,6,0,1,Switzerland,0.75,0.6011,3.21,85.36,78.3,Jun-Jul,High,Low Risk,Large ($400-$800),True,Correct
12462,1,Repeat Buyer,0.45538524,0,One-time Buyer,0.5446148,762.11,40,40,0.6999,0.875,2,February,70,4,0,1,Spain,0.6429,0.7711,4.6,89.46,82.73,Feb-Mar,High,High Risk,Large ($400-$800),False,False Negative
12463,1,Repeat Buyer,0.9378998,1,Repeat Buyer,0.062100172,350.57,20,20,0.7268,0.9375,4,April,132,3,0,1,Belgium,0.75,0.6667,3.0,62.9,55.8,Apr-May,High,Low Risk,Medium ($200-$400),True,Correct
12464,1,Repeat Buyer,0.44606617,0,One-time Buyer,0.55393386,213.9,6,6,0.7026,0.7795,2,February,64,5,0,1,Belgium,0.75,0.7711,10.74,34.82,14.43,Feb-Mar,High,High Risk,Medium ($200-$400),False,False Negative
12465,1,Repeat Buyer,0.85354364,1,Repeat Buyer,0.14645636,440.94,26,26,0.7121,0.8913,6,June,204,5,0,1,Belgium,0.75,0.6405,2.86,74.31,67.6,Jun-Jul,High,Low Risk,Large ($400-$800),True,Correct
12468,1,Repeat Buyer,0.5406428,1,Repeat Buyer,0.4593572,220.59,12,12,0.7303,0.8023,1,January,57,5,0,1,Germany,0.7234,0.8153,3.67,36.27,32.9,Dec-Jan,High,Medium Risk,Medium ($200-$400),True,Correct
12471,1,Repeat Buyer,0.86016625,1,Repeat Buyer,0.13983375,1982.41,47,46,0.7155,0.8333,12,December,9,6,0,1,Germany,0.7234,0.8369,2.99,98.66,87.27,Dec-Jan,High,Low Risk,Very Large (>$800),True,Correct
12472,1,Repeat Buyer,0.97205454,1,Repeat Buyer,0.027945459,1631.3,70,70,0.6836,1.0,12,December,4,1,1,1,Germany,0.7234,0.8369,2.4,97.72,95.27,Dec-Jan,High,Low Risk,Very Large (>$800),True,Correct
12473,1,Repeat Buyer,0.87453127,1,Repeat Buyer,0.12546873,672.19,35,34,0.7311,0.8913,6,June,182,4,0,1,Germany,0.7234,0.6405,2.51,86.93,79.13,Jun-Jul,High,Low Risk,Large ($400-$800),True,Correct
12474,1,Repeat Buyer,0.59766954,1,Repeat Buyer,0.40233046,47.5,2,2,0.7212,0.7671,1,January,44,6,0,1,Germany,0.7234,0.8153,10.48,2.14,3.69,Dec-Jan,High,Medium Risk,Small (<$200),True,Correct
12475,0,One-time Buyer,0.22669508,0,One-time Buyer,0.77330494,723.38,36,36,0.6549,0.7895,10,October,320,2,0,1,Germany,0.7234,0.3464,2.94,88.4,79.92,Aug-Sep,Medium,Very High Risk,Large ($400-$800),True,Correct
12476,1,Repeat Buyer,0.786226,1,Repeat Buyer,0.21377403,12.45,2,2,0.7603,0.7949,12,December,12,2,0,1,Germany,0.7234,0.8369,6.22,0.3,3.69,Dec-Jan,Very High,Low Risk,Small (<$200),True,Correct
12477,1,Repeat Buyer,0.9614533,1,Repeat Buyer,0.03854668,2355.95,52,52,0.7561,0.9487,2,February,72,6,0,1,Germany,0.7234,0.7711,4.35,99.15,89.42,Feb-Mar,Very High,Low Risk,Very Large (>$800),True,Correct
12478,0,One-time Buyer,0.062829055,0,One-time Buyer,0.9371709,680.99,36,36,0.6393,0.7978,12,December,370,3,0,1,Greece,0.25,0.8369,4.54,87.3,79.92,Aug-Sep,Medium,Very High Risk,Large ($400-$800),True,Correct
12479,0,One-time Buyer,0.22854587,0,One-time Buyer,0.7714541,527.2,31,31,0.6734,0.8205,11,November,362,2,0,1,Germany,0.7234,0.2601,2.67,80.7,75.44,Aug-Sep,Medium,Very High Risk,Large ($400-$800),True,Correct
