CustomerID,target,days_to_second_purchase,order_value,num_items,num_unique_products,total_quantity,avg_item_price,product_diversity_ratio,order_complexity_score,day_of_week,month,hour,is_weekend,is_business_hours,days_from_start,Country,country_repeat_rate,month_repeat_rate,basket_repeat_score,best_product_repeat_score,products_with_history_count,order_value_percentile,num_items_percentile
12457,1,0,669.25,22,22,196,6.2,1,0.7232,5,4,18,0,0,134,Switzerland,0.75,0.6667,0.7127,0.9487,22,86.81,60.69
12458,1,213,441.92,19,19,270,3.89,1,0.8169,2,2,10,0,1,89,Switzerland,0.75,0.7711,0.7391,0.9474,19,74.43,53.01
12461,1,60,626.88,34,34,282,3.21,1,1.8441,6,7,10,0,1,219,Switzerland,0.75,0.6011,0.6922,0.9048,34,85.36,78.3
12462,1,284,762.11,40,40,287,4.6,1,2.0994,4,2,14,0,1,70,Spain,0.6429,0.7711,0.6999,0.875,39,89.46,82.73
12463,1,34,350.57,20,20,189,3,1,1.141,3,4,12,0,1,132,Belgium,0.75,0.6667,0.7268,0.9375,20,62.9,55.8
12464,1,24,213.9,6,6,21,10.74,1,0.1683,5,2,13,0,1,64,Belgium,0.75,0.7711,0.7026,0.7795,6,34.82,14.43
12465,1,152,440.94,26,26,294,2.86,1,1.5331,5,6,13,0,1,204,Belgium,0.75,0.6405,0.7121,0.8913,26,74.31,67.6
12468,1,128,220.59,12,12,127,3.67,1,0.6528,5,1,13,0,1,57,Germany,0.7234,0.8153,0.7303,0.8023,12,36.27,32.9
12471,1,0,1982.41,47,46,1075,2.99,0.9787,1.0906,6,12,9,0,1,9,Germany,0.7234,0.8369,0.7155,0.8333,47,98.66,87.27
12472,1,51,1631.3,70,70,972,2.4,1,3.0037,1,12,14,1,1,4,Germany,0.7234,0.8369,0.6836,1,70,97.72,95.27
12473,1,77,672.19,35,34,557,2.51,0.9714,1.7703,4,6,10,0,1,182,Germany,0.7234,0.6405,0.7311,0.8913,35,86.93,79.13
12474,1,0,47.5,2,2,11,10.48,1,0.0842,6,1,10,0,1,44,Germany,0.7234,0.8153,0.7212,0.7671,2,2.14,3.69
12475,0,,723.38,36,36,535,2.94,1,1.7916,2,10,10,0,1,320,Germany,0.7234,0.3464,0.6549,0.7895,36,88.4,79.92
12476,1,48,12.45,2,2,2,6.22,1,0.3213,2,12,14,0,1,12,Germany,0.7234,0.8369,0.7603,0.7949,2,0.3,3.69
12477,1,62,2355.95,52,52,639,4.35,1,1.1477,6,2,12,0,1,72,Germany,0.7234,0.7711,0.7561,0.9487,52,99.15,89.42
12478,0,,680.99,36,36,236,4.54,1,1.9031,3,12,9,0,1,370,Greece,0.25,0.8369,0.6393,0.7978,36,87.3,79.92
12479,0,,527.2,31,31,385,2.67,1,1.8228,2,11,13,0,1,362,Germany,0.7234,0.2601,0.6734,0.8205,31,80.7,75.44
12480,1,68,816.25,42,42,367,2.88,1,2.1611,6,1,15,0,1,37,Germany,0.7234,0.8153,0.7497,0.95,42,90.92,84.48
12481,1,11,159.38,10,10,85,4.57,1,0.6274,5,12,10,0,1,8,Germany,0.7234,0.8369,0.7103,0.7717,10,22.83,26.47
12483,1,112,547.56,13,13,293,4.42,1,0.3086,3,1,14,0,1,34,Sweden,0.5,0.8153,0.7619,0.9474,12,81.67,35.79
12484,1,159,1138.67,98,98,630,2.92,1,8.4344,6,1,14,0,1,37,Spain,0.6429,0.8153,0.7156,1,96,95.53,98.39
12488,1,36,553.39,21,21,169,4.73,1,0.7969,1,9,10,1,1,298,France,0.6782,0.4749,0.6869,0.8519,21,82.04,58.45
12489,0,,334.93,15,15,105,5.91,1,0.6718,6,1,13,0,1,37,France,0.6782,0.8153,0.7113,0.8293,15,60.04,41.73
12490,1,115,864.22,43,43,548,2.29,1,2.1395,6,1,9,0,1,44,France,0.6782,0.8153,0.7403,0.9286,43,91.95,85.15
12491,0,,460.4,26,25,260,3.38,0.9615,1.4118,3,11,12,0,1,335,France,0.6782,0.2601,0.655,0.8158,26,75.93,67.6
12492,1,42,126.39,9,9,69,4.22,1,0.6409,6,8,14,0,1,268,Germany,0.7234,0.5444,0.6784,0.8105,9,14.94,23.31
12493,1,31,232.5,12,12,88,5.09,1,0.6194,5,5,14,0,1,176,France,0.6782,0.6937,0.7016,0.8846,12,38.85,32.9
12494,1,6,57.6,3,3,9,10.63,1,0.1563,5,12,11,0,1,8,France,0.6782,0.8369,0.7578,0.8036,3,2.81,6.09
12497,0,,1043.1,14,14,1236,2.06,1,0.1879,2,9,12,0,1,292,Germany,0.7234,0.4749,0.6899,0.7692,14,94.56,38.53
12498,1,36,247.25,13,13,69,4.78,1,0.6835,5,10,9,0,1,316,Germany,0.7234,0.3464,0.7022,0.8519,13,41.27,35.79
12500,1,38,344.94,5,5,243,6.06,1,0.0725,2,1,9,0,1,40,Germany,0.7234,0.8153,0.6845,0.7925,5,61.98,11.04
12501,0,,2169.39,149,149,1783,2.41,1,10.2338,6,1,12,0,1,37,Germany,0.7234,0.8153,0.7012,0.8421,147,98.99,99.63
12502,1,41,617.25,31,31,171,5.32,1,1.5569,5,2,10,0,1,64,Spain,0.6429,0.7711,0.726,0.8889,29,84.87,75.44
12504,1,12,449.4,6,6,87,8.07,1,0.0801,4,11,14,0,1,343,Germany,0.7234,0.2601,0.6858,0.7113,6,74.98,14.43
12506,0,,73.5,23,23,23,3.2,1,7.1973,5,4,8,0,0,141,France,0.6782,0.6667,0.7424,0.881,23,4.15,62.49
12507,1,143,446.16,13,13,219,4.04,1,0.3788,2,2,9,0,1,75,Spain,0.6429,0.7711,0.721,0.7826,13,74.8,35.79
12508,1,2,275.19,52,47,203,1.62,0.9038,8.8811,5,11,16,0,1,344,France,0.6782,0.2601,0.6095,0.8333,52,45.35,89.42
12509,0,,176.5,7,7,55,5.56,1,0.2776,2,2,14,0,1,89,France,0.6782,0.7711,0.7297,0.7841,7,26.95,17.32
12510,1,182,681.05,29,29,294,3.3,1,1.2349,3,1,14,0,1,48,Spain,0.6429,0.8153,0.7203,0.925,29,87.32,71.94
12512,1,0,122.33,32,29,95,2.45,0.9063,7.586,3,10,14,0,1,307,Israel,0.6667,0.3464,0.6483,0.7869,31,13.88,76.55
12513,0,,612.29,35,35,462,2.18,1,2.0007,6,8,10,0,1,261,France,0.6782,0.5444,0.6998,0.8014,35,84.71,79.13
12514,0,,1017.68,51,51,440,3.3,1,2.5558,5,3,16,0,1,106,Italy,0.4286,0.7212,0.7203,0.8382,51,94.21,89
12515,0,,383.7,16,16,131,6.78,1,0.6672,3,12,15,0,1,20,Italy,0.4286,0.8369,0.6817,0.7778,16,67.86,44.94
12516,1,102,583.2,13,13,345,2.86,1,0.2898,1,6,11,1,1,193,Germany,0.7234,0.6405,0.729,0.8158,13,83.35,35.79
12517,1,63,766.95,134,125,420,2.18,0.9328,21.8398,5,6,15,0,1,183,Germany,0.7234,0.6405,0.7194,0.8947,134,89.62,99.49
12518,1,33,324.83,18,18,187,2.84,1,0.9974,1,8,13,1,1,263,Germany,0.7234,0.5444,0.7301,0.8098,18,58.22,50.7
12519,0,,340.84,18,17,183,2.99,0.9444,0.8978,6,10,9,0,1,310,Germany,0.7234,0.3464,0.6705,0.7685,18,61.19,50.7
12520,1,13,987.42,60,60,618,3.12,1,3.6459,6,3,11,0,1,100,Germany,0.7234,0.7212,0.7427,0.9487,59,93.82,92.74
12521,0,,599.68,38,38,309,3,1,2.408,4,7,10,0,1,231,Germany,0.7234,0.6011,0.6377,0.7826,37,84.14,81.19
12522,1,12,89.4,6,6,129,5.36,1,0.4027,4,10,14,0,1,322,Germany,0.7234,0.3464,0.6801,0.8125,6,6.06,14.43
12523,1,40,102.95,7,7,43,5.87,1,0.476,4,1,9,0,1,42,France,0.6782,0.8153,0.7332,0.7947,7,8.37,17.32
12524,1,42,337.39,16,16,392,2.65,1,0.7588,2,1,10,0,1,40,Germany,0.7234,0.8153,0.7418,0.9474,16,60.64,44.94
12526,1,40,520.3,29,29,318,2.58,1,1.6164,3,9,14,0,1,279,Germany,0.7234,0.4749,0.6918,0.8451,29,80.26,71.94
12527,1,30,132.52,10,10,113,2.94,1,0.7546,3,1,12,0,1,48,Germany,0.7234,0.8153,0.7629,1,10,16.21,26.47
12528,1,36,493.53,31,31,281,4.07,1,1.9472,2,1,9,0,1,61,Germany,0.7234,0.8153,0.7272,0.9286,31,78.46,75.44
12530,1,102,387.4,13,13,95,6.62,1,0.4362,6,1,10,0,1,37,Germany,0.7234,0.8153,0.749,0.9474,13,68.3,35.79
12531,0,,125.22,17,17,45,3.81,1,2.3079,6,11,11,0,1,359,Germany,0.7234,0.2601,0.6498,0.7805,16,14.57,48.28
12532,0,,349.83,16,16,153,3.7,1,0.7318,4,11,13,0,1,343,France,0.6782,0.2601,0.5224,0.7273,16,62.83,44.94
12534,0,,1089.18,63,63,651,3.04,1,3.644,2,8,10,0,1,243,Germany,0.7234,0.5444,0.6943,0.9,61,95.04,93.52
12535,1,94,371.45,18,18,115,3.91,1,0.8723,2,6,12,0,1,187,France,0.6782,0.6405,0.6847,0.85,18,66.08,50.7
12536,1,15,4279.71,259,259,2801,2.89,1,15.6742,3,10,14,0,1,314,France,0.6782,0.3464,0.6674,1,257,99.72,99.95
12538,0,,363.95,21,21,191,3.64,1,1.2117,5,11,17,0,1,344,Spain,0.6429,0.2601,0.6102,0.7963,19,65.16,58.45
12539,1,17,1715.85,93,93,643,4.32,1,5.0407,2,1,9,0,1,40,Spain,0.6429,0.8153,0.7213,0.9375,90,98.2,98.04
12540,1,29,881.01,20,20,300,4.86,1,0.454,2,12,9,0,1,12,Spain,0.6429,0.8369,0.7324,0.9012,20,92.25,55.8
12541,1,107,312.4,17,17,288,3.21,1,0.9251,6,3,9,0,1,93,Spain,0.6429,0.7212,0.7015,0.7424,17,54.74,48.28
12544,0,,372.7,19,19,136,4.11,1,0.9686,5,11,16,0,1,337,Spain,0.6429,0.2601,0.5877,0.719,19,66.31,53.01
12545,1,184,628.15,34,34,346,3.39,1,1.8403,6,3,12,0,1,114,Spain,0.6429,0.7212,0.7151,0.8889,34,85.4,78.3
12546,1,31,760.2,45,45,475,2.88,1,2.6638,6,9,9,0,1,296,Spain,0.6429,0.4749,0.6078,0.9091,45,89.42,86.23
12547,1,82,159.4,6,6,109,5.79,1,0.2258,6,3,12,0,1,93,Spain,0.6429,0.7212,0.6909,0.7778,6,22.85,14.43
12548,0,,95.2,5,5,49,6.72,1,0.2626,1,6,15,1,1,207,Spain,0.6429,0.6405,0.722,0.7622,5,6.89,11.04
12550,0,,964.83,57,57,569,3.09,1,3.3674,4,9,14,0,1,294,Spain,0.6429,0.4749,0.6769,0.9091,57,93.47,91.72
12551,0,,168,10,10,100,1.68,1,0.5952,6,12,11,0,1,16,Spain,0.6429,0.8369,0.7183,0.8182,10,25.16,26.47
12552,1,0,317.82,19,19,85,7.49,1,1.1359,2,10,12,0,1,334,Italy,0.4286,0.3464,0.6921,0.8023,19,56.49,53.01
12553,1,35,700.31,38,38,446,2.32,1,2.0619,6,1,10,0,1,44,France,0.6782,0.8153,0.7003,0.8182,38,87.73,81.19
12556,1,100,312.9,67,60,166,2.7,0.8955,12.8476,2,7,13,0,1,222,Spain,0.6429,0.6011,0.7049,0.875,66,54.92,94.6
12557,1,38,620,5,5,400,1.57,1,0.0403,6,12,12,0,1,2,Spain,0.6429,0.8369,0.7657,0.7978,5,84.99,11.04
12558,0,,269.96,11,11,196,1.25,1,0.4482,6,12,10,0,1,366,USA,0.25,0.8369,0.5983,0.7778,11,44.59,29.49
12559,1,8,486.11,20,20,247,3.62,1,0.8229,2,1,10,0,1,54,Germany,0.7234,0.8153,0.757,0.9091,20,77.82,55.8
12560,1,30,1292.31,76,76,812,2.48,1,4.4695,3,7,15,0,1,230,Germany,0.7234,0.6011,0.6739,0.8913,76,96.54,96.13
12561,0,,238.85,16,16,177,2.96,1,1.0718,5,2,11,0,1,71,Germany,0.7234,0.7711,0.7272,0.8182,16,39.73,44.94
12562,1,22,444.96,21,21,183,3.58,1,0.9911,4,5,12,0,1,175,France,0.6782,0.6937,0.7121,0.814,21,74.73,58.45
12564,0,,456.9,21,21,133,5.58,1,0.9652,4,3,14,0,1,112,France,0.6782,0.7212,0.6403,0.8098,21,75.74,58.45
12565,0,,145.92,9,9,80,2.35,1,0.5551,5,2,10,0,1,85,Saudi Arabia,0,0.7711,0.6502,0.7057,9,19.46,23.31
12566,0,,351.65,19,19,265,3.9,1,1.0266,4,9,14,0,1,287,Germany,0.7234,0.4749,0.6031,0.7818,19,63.13,53.01
12567,1,1,1526.92,63,63,611,4.56,1,2.5994,1,12,11,1,1,4,France,0.6782,0.8369,0.7437,0.9487,60,97.23,93.52
12569,1,12,348.68,10,10,115,4.01,1,0.2868,6,4,13,0,1,121,Germany,0.7234,0.6667,0.7324,0.8462,10,62.6,26.47
12571,1,81,248.35,14,14,197,1.51,1,0.7892,4,8,12,0,1,252,France,0.6782,0.5444,0.7024,0.7812,14,41.55,38.53
12572,1,43,532.74,36,36,293,3.94,1,2.4327,4,10,8,0,0,322,Germany,0.7234,0.3464,0.6604,1,36,80.82,79.92
12573,0,,160.54,28,26,84,2.1,0.9286,4.5347,3,4,15,0,1,146,France,0.6782,0.6667,0.7124,0.8889,27,23.08,70.39
12574,0,,218.45,11,11,61,5.2,1,0.5539,6,1,9,0,1,58,France,0.6782,0.8153,0.7686,0.8382,11,35.88,29.49
12576,1,86,266.85,19,19,199,1.52,1,1.3528,3,2,11,0,1,69,Poland,0.6667,0.7711,0.7396,0.8933,19,44.2,53.01
12577,1,323,195.89,67,67,134,1.76,1,22.9159,4,12,16,0,1,14,France,0.6782,0.8369,0.7103,0.925,67,30.78,94.6
12578,1,308,1608.66,70,70,748,2.87,1,3.046,5,1,15,0,1,43,Italy,0.4286,0.8153,0.7439,0.9667,70,97.63,95.27
12579,0,,440.42,29,29,285,3.34,1,1.9095,5,9,17,0,1,295,France,0.6782,0.4749,0.6807,0.8158,28,74.22,71.94
